in:Pt1 Y,in:Pt1 Z,in:Pt2 Y,in:Pt2 Z,in:Configuration,out:Displacement,img
-3.333333,26.666667,36.666667,42,0,9.50569,Pt1Y-3.333333_Pt1Z26.666667_Pt2Y36.666667_Pt2Z42_Configuration0.png
3.333333,26.666667,36.666667,42,0,12.083031,Pt1Y3.333333_Pt1Z26.666667_Pt2Y36.666667_Pt2Z42_Configuration0.png
10,26.666667,36.666667,42,0,17.858307,Pt1Y10_Pt1Z26.666667_Pt2Y36.666667_Pt2Z42_Configuration0.png
-10,30,36.666667,42,0,6.997973,Pt1Y-10_Pt1Z30_Pt2Y36.666667_Pt2Z42_Configuration0.png
-3.333333,30,36.666667,42,0,7.778953,Pt1Y-3.333333_Pt1Z30_Pt2Y36.666667_Pt2Z42_Configuration0.png
3.333333,30,36.666667,42,0,9.132188,Pt1Y3.333333_Pt1Z30_Pt2Y36.666667_Pt2Z42_Configuration0.png
10,30,36.666667,42,0,11.838952,Pt1Y10_Pt1Z30_Pt2Y36.666667_Pt2Z42_Configuration0.png
-10,20,40,42,0,13.658939,Pt1Y-10_Pt1Z20_Pt2Y40_Pt2Z42_Configuration0.png
-3.333333,20,40,42,0,18.281659,Pt1Y-3.333333_Pt1Z20_Pt2Y40_Pt2Z42_Configuration0.png
3.333333,20,40,42,0,28.332928,Pt1Y3.333333_Pt1Z20_Pt2Y40_Pt2Z42_Configuration0.png
10,20,40,42,0,62.533789,Pt1Y10_Pt1Z20_Pt2Y40_Pt2Z42_Configuration0.png
-10,23.333333,40,42,0,10.649587,Pt1Y-10_Pt1Z23.333333_Pt2Y40_Pt2Z42_Configuration0.png
-3.333333,23.333333,40,42,0,13.216178,Pt1Y-3.333333_Pt1Z23.333333_Pt2Y40_Pt2Z42_Configuration0.png
3.333333,23.333333,40,42,0,18.115035,Pt1Y3.333333_Pt1Z23.333333_Pt2Y40_Pt2Z42_Configuration0.png
10,23.333333,40,42,0,30.439806,Pt1Y10_Pt1Z23.333333_Pt2Y40_Pt2Z42_Configuration0.png
-10,26.666667,40,42,0,8.739798,Pt1Y-10_Pt1Z26.666667_Pt2Y40_Pt2Z42_Configuration0.png
-3.333333,26.666667,40,42,0,10.185847,Pt1Y-3.333333_Pt1Z26.666667_Pt2Y40_Pt2Z42_Configuration0.png
3.333333,26.666667,40,42,0,12.71676,Pt1Y3.333333_Pt1Z26.666667_Pt2Y40_Pt2Z42_Configuration0.png
10,26.666667,40,42,0,18.074367,Pt1Y10_Pt1Z26.666667_Pt2Y40_Pt2Z42_Configuration0.png
-10,30,40,42,0,7.484194,Pt1Y-10_Pt1Z30_Pt2Y40_Pt2Z42_Configuration0.png
-3.333333,30,40,42,0,8.2771,Pt1Y-3.333333_Pt1Z30_Pt2Y40_Pt2Z42_Configuration0.png
3.333333,30,40,42,0,9.593636,Pt1Y3.333333_Pt1Z30_Pt2Y40_Pt2Z42_Configuration0.png
10,30,40,42,0,12.076677,Pt1Y10_Pt1Z30_Pt2Y40_Pt2Z42_Configuration0.png
-10,20,30,44.666667,0,10.823822,Pt1Y-10_Pt1Z20_Pt2Y30_Pt2Z44.666667_Configuration0.png
-3.333333,20,30,44.666667,0,15.995827,Pt1Y-3.333333_Pt1Z20_Pt2Y30_Pt2Z44.666667_Configuration0.png
3.333333,20,30,44.666667,0,28.800858,Pt1Y3.333333_Pt1Z20_Pt2Y30_Pt2Z44.666667_Configuration0.png
10,20,30,44.666667,0,82.718793,Pt1Y10_Pt1Z20_Pt2Y30_Pt2Z44.666667_Configuration0.png
-10,23.333333,30,44.666667,0,8.456045,Pt1Y-10_Pt1Z23.333333_Pt2Y30_Pt2Z44.666667_Configuration0.png
-3.333333,23.333333,30,44.666667,0,11.522354,Pt1Y-3.333333_Pt1Z23.333333_Pt2Y30_Pt2Z44.666667_Configuration0.png
3.333333,23.333333,30,44.666667,0,18.382125,Pt1Y3.333333_Pt1Z23.333333_Pt2Y30_Pt2Z44.666667_Configuration0.png
10,23.333333,30,44.666667,0,40.411567,Pt1Y10_Pt1Z23.333333_Pt2Y30_Pt2Z44.666667_Configuration0.png
-10,26.666667,30,44.666667,0,6.945413,Pt1Y-10_Pt1Z26.666667_Pt2Y30_Pt2Z44.666667_Configuration0.png
-3.333333,26.666667,30,44.666667,0,8.778255,Pt1Y-3.333333_Pt1Z26.666667_Pt2Y30_Pt2Z44.666667_Configuration0.png
3.333333,26.666667,30,44.666667,0,12.591773,Pt1Y3.333333_Pt1Z26.666667_Pt2Y30_Pt2Z44.666667_Configuration0.png
10,26.666667,30,44.666667,0,23.019512,Pt1Y10_Pt1Z26.666667_Pt2Y30_Pt2Z44.666667_Configuration0.png
-10,30,30,44.666667,0,5.959543,Pt1Y-10_Pt1Z30_Pt2Y30_Pt2Z44.666667_Configuration0.png
-3.333333,30,30,44.666667,0,7.034921,Pt1Y-3.333333_Pt1Z30_Pt2Y30_Pt2Z44.666667_Configuration0.png
3.333333,30,30,44.666667,0,9.149345,Pt1Y3.333333_Pt1Z30_Pt2Y30_Pt2Z44.666667_Configuration0.png
10,30,30,44.666667,0,14.364852,Pt1Y10_Pt1Z30_Pt2Y30_Pt2Z44.666667_Configuration0.png
-10,20,33.333333,44.666667,0,10.919619,Pt1Y-10_Pt1Z20_Pt2Y33.333333_Pt2Z44.666667_Configuration0.png
-3.333333,20,33.333333,44.666667,0,15.731849,Pt1Y-3.333333_Pt1Z20_Pt2Y33.333333_Pt2Z44.666667_Configuration0.png
3.333333,20,33.333333,44.666667,0,27.090138,Pt1Y3.333333_Pt1Z20_Pt2Y33.333333_Pt2Z44.666667_Configuration0.png
10,20,33.333333,44.666667,0,70.835091,Pt1Y10_Pt1Z20_Pt2Y33.333333_Pt2Z44.666667_Configuration0.png
-10,23.333333,33.333333,44.666667,0,8.55059,Pt1Y-10_Pt1Z23.333333_Pt2Y33.333333_Pt2Z44.666667_Configuration0.png
-3.333333,23.333333,33.333333,44.666667,0,11.39614,Pt1Y-3.333333_Pt1Z23.333333_Pt2Y33.333333_Pt2Z44.666667_Configuration0.png
3.333333,23.333333,33.333333,44.666667,0,17.424709,Pt1Y3.333333_Pt1Z23.333333_Pt2Y33.333333_Pt2Z44.666667_Configuration0.png
10,23.333333,33.333333,44.666667,0,35.13053,Pt1Y10_Pt1Z23.333333_Pt2Y33.333333_Pt2Z44.666667_Configuration0.png
-10,26.666667,33.333333,44.666667,0,7.033288,Pt1Y-10_Pt1Z26.666667_Pt2Y33.333333_Pt2Z44.666667_Configuration0.png
-3.333333,26.666667,33.333333,44.666667,0,8.738173,Pt1Y-3.333333_Pt1Z26.666667_Pt2Y33.333333_Pt2Z44.666667_Configuration0.png
3.333333,26.666667,33.333333,44.666667,0,12.077384,Pt1Y3.333333_Pt1Z26.666667_Pt2Y33.333333_Pt2Z44.666667_Configuration0.png
10,26.666667,33.333333,44.666667,0,20.421362,Pt1Y10_Pt1Z26.666667_Pt2Y33.333333_Pt2Z44.666667_Configuration0.png
-10,30,33.333333,44.666667,0,6.0348,Pt1Y-10_Pt1Z30_Pt2Y33.333333_Pt2Z44.666667_Configuration0.png
-3.333333,30,33.333333,44.666667,0,7.043152,Pt1Y-3.333333_Pt1Z30_Pt2Y33.333333_Pt2Z44.666667_Configuration0.png
3.333333,30,33.333333,44.666667,0,8.90337,Pt1Y3.333333_Pt1Z30_Pt2Y33.333333_Pt2Z44.666667_Configuration0.png
10,30,33.333333,44.666667,0,13.066777,Pt1Y10_Pt1Z30_Pt2Y33.333333_Pt2Z44.666667_Configuration0.png
-10,20,36.666667,44.666667,0,11.179363,Pt1Y-10_Pt1Z20_Pt2Y36.666667_Pt2Z44.666667_Configuration0.png
-3.333333,20,36.666667,44.666667,0,15.80502,Pt1Y-3.333333_Pt1Z20_Pt2Y36.666667_Pt2Z44.666667_Configuration0.png
3.333333,20,36.666667,44.666667,0,26.307869,Pt1Y3.333333_Pt1Z20_Pt2Y36.666667_Pt2Z44.666667_Configuration0.png
10,20,36.666667,44.666667,0,64.188881,Pt1Y10_Pt1Z20_Pt2Y36.666667_Pt2Z44.666667_Configuration0.png
-10,23.333333,36.666667,44.666667,0,8.741618,Pt1Y-10_Pt1Z23.333333_Pt2Y36.666667_Pt2Z44.666667_Configuration0.png
-3.333333,23.333333,36.666667,44.666667,0,11.464098,Pt1Y-3.333333_Pt1Z23.333333_Pt2Y36.666667_Pt2Z44.666667_Configuration0.png
3.333333,23.333333,36.666667,44.666667,0,16.976349,Pt1Y3.333333_Pt1Z23.333333_Pt2Y36.666667_Pt2Z44.666667_Configuration0.png
10,23.333333,36.666667,44.666667,0,32.058877,Pt1Y10_Pt1Z23.333333_Pt2Y36.666667_Pt2Z44.666667_Configuration0.png
-10,26.666667,36.666667,44.666667,0,7.177279,Pt1Y-10_Pt1Z26.666667_Pt2Y36.666667_Pt2Z44.666667_Configuration0.png
-3.333333,26.666667,36.666667,44.666667,0,8.808434,Pt1Y-3.333333_Pt1Z26.666667_Pt2Y36.666667_Pt2Z44.666667_Configuration0.png
3.333333,26.666667,36.666667,44.666667,0,11.848832,Pt1Y3.333333_Pt1Z26.666667_Pt2Y36.666667_Pt2Z44.666667_Configuration0.png
10,26.666667,36.666667,44.666667,0,18.907829,Pt1Y10_Pt1Z26.666667_Pt2Y36.666667_Pt2Z44.666667_Configuration0.png
-10,30,36.666667,44.666667,0,6.142242,Pt1Y-10_Pt1Z30_Pt2Y36.666667_Pt2Z44.666667_Configuration0.png
-3.333333,30,36.666667,44.666667,0,7.111235,Pt1Y-3.333333_Pt1Z30_Pt2Y36.666667_Pt2Z44.666667_Configuration0.png
3.333333,30,36.666667,44.666667,0,8.810579,Pt1Y3.333333_Pt1Z30_Pt2Y36.666667_Pt2Z44.666667_Configuration0.png
10,30,36.666667,44.666667,0,12.329933,Pt1Y10_Pt1Z30_Pt2Y36.666667_Pt2Z44.666667_Configuration0.png
-10,20,40,44.666667,0,11.628015,Pt1Y-10_Pt1Z20_Pt2Y40_Pt2Z44.666667_Configuration0.png
-3.333333,20,40,44.666667,0,16.214727,Pt1Y-3.333333_Pt1Z20_Pt2Y40_Pt2Z44.666667_Configuration0.png
3.333333,20,40,44.666667,0,26.328198,Pt1Y3.333333_Pt1Z20_Pt2Y40_Pt2Z44.666667_Configuration0.png
10,20,40,44.666667,0,61.231716,Pt1Y10_Pt1Z20_Pt2Y40_Pt2Z44.666667_Configuration0.png
-10,23.333333,40,44.666667,0,9.045592,Pt1Y-10_Pt1Z23.333333_Pt2Y40_Pt2Z44.666667_Configuration0.png
-3.333333,23.333333,40,44.666667,0,11.720756,Pt1Y-3.333333_Pt1Z23.333333_Pt2Y40_Pt2Z44.666667_Configuration0.png
3.333333,23.333333,40,44.666667,0,16.941483,Pt1Y3.333333_Pt1Z23.333333_Pt2Y40_Pt2Z44.666667_Configuration0.png
10,23.333333,40,44.666667,0,30.470367,Pt1Y10_Pt1Z23.333333_Pt2Y40_Pt2Z44.666667_Configuration0.png
-10,26.666667,40,44.666667,0,7.390896,Pt1Y-10_Pt1Z26.666667_Pt2Y40_Pt2Z44.666667_Configuration0.png
-3.333333,26.666667,40,44.666667,0,8.987049,Pt1Y-3.333333_Pt1Z26.666667_Pt2Y40_Pt2Z44.666667_Configuration0.png
3.333333,26.666667,40,44.666667,0,11.844324,Pt1Y3.333333_Pt1Z26.666667_Pt2Y40_Pt2Z44.666667_Configuration0.png
10,26.666667,40,44.666667,0,18.098248,Pt1Y10_Pt1Z26.666667_Pt2Y40_Pt2Z44.666667_Configuration0.png
-10,30,40,44.666667,0,6.293957,Pt1Y-10_Pt1Z30_Pt2Y40_Pt2Z44.666667_Configuration0.png
-3.333333,30,40,44.666667,0,7.241897,Pt1Y-3.333333_Pt1Z30_Pt2Y40_Pt2Z44.666667_Configuration0.png
3.333333,30,40,44.666667,0,8.837699,Pt1Y3.333333_Pt1Z30_Pt2Y40_Pt2Z44.666667_Configuration0.png
10,30,40,44.666667,0,11.945434,Pt1Y10_Pt1Z30_Pt2Y40_Pt2Z44.666667_Configuration0.png
-10,20,30,47.333333,0,11.202488,Pt1Y-10_Pt1Z20_Pt2Y30_Pt2Z47.333333_Configuration0.png
-3.333333,20,30,47.333333,0,17.16691,Pt1Y-3.333333_Pt1Z20_Pt2Y30_Pt2Z47.333333_Configuration0.png
3.333333,20,30,47.333333,0,32.192548,Pt1Y3.333333_Pt1Z20_Pt2Y30_Pt2Z47.333333_Configuration0.png
10,20,30,47.333333,0,100.318951,Pt1Y10_Pt1Z20_Pt2Y30_Pt2Z47.333333_Configuration0.png
-10,23.333333,30,47.333333,0,8.668411,Pt1Y-10_Pt1Z23.333333_Pt2Y30_Pt2Z47.333333_Configuration0.png
-3.333333,23.333333,30,47.333333,0,12.296129,Pt1Y-3.333333_Pt1Z23.333333_Pt2Y30_Pt2Z47.333333_Configuration0.png
3.333333,23.333333,30,47.333333,0,20.548713,Pt1Y3.333333_Pt1Z23.333333_Pt2Y30_Pt2Z47.333333_Configuration0.png
10,23.333333,30,47.333333,0,48.327369,Pt1Y10_Pt1Z23.333333_Pt2Y30_Pt2Z47.333333_Configuration0.png
-10,26.666667,30,47.333333,0,7.036797,Pt1Y-10_Pt1Z26.666667_Pt2Y30_Pt2Z47.333333_Configuration0.png
-3.333333,26.666667,30,47.333333,0,9.278082,Pt1Y-3.333333_Pt1Z26.666667_Pt2Y30_Pt2Z47.333333_Configuration0.png
3.333333,26.666667,30,47.333333,0,14.025462,Pt1Y3.333333_Pt1Z26.666667_Pt2Y30_Pt2Z47.333333_Configuration0.png
10,26.666667,30,47.333333,0,27.417136,Pt1Y10_Pt1Z26.666667_Pt2Y30_Pt2Z47.333333_Configuration0.png
-10,30,30,47.333333,0,5.960434,Pt1Y-10_Pt1Z30_Pt2Y30_Pt2Z47.333333_Configuration0.png
-3.333333,30,30,47.333333,0,7.335729,Pt1Y-3.333333_Pt1Z30_Pt2Y30_Pt2Z47.333333_Configuration0.png
3.333333,30,30,47.333333,0,10.088572,Pt1Y3.333333_Pt1Z30_Pt2Y30_Pt2Z47.333333_Configuration0.png
10,30,30,47.333333,0,17.070845,Pt1Y10_Pt1Z30_Pt2Y30_Pt2Z47.333333_Configuration0.png
-10,20,33.333333,47.333333,0,11.021124,Pt1Y-10_Pt1Z20_Pt2Y33.333333_Pt2Z47.333333_Configuration0.png
-3.333333,20,33.333333,47.333333,0,16.452402,Pt1Y-3.333333_Pt1Z20_Pt2Y33.333333_Pt2Z47.333333_Configuration0.png
